GLACIER,POINT_ID,POINT_LAT,POINT_LON,PERIOD
oberaar,01,46.53880619383016,8.233237450815484,annual
oberaar,02,46.53661087963497,8.225513892088092,annual
oberaar,03,46.53213553284363,8.20773419183833,annual
oberaar,02,46.536575079420516,8.225487299551538,annual
oberaar,02,46.536547823425956,8.225526011984698,annual
oberaar,02,46.536547823425956,8.225526011984698,annual
oberaar,02,46.536547823425956,8.225526011984698,annual
oberaar,02,46.53629201233559,8.224792273444248,annual
oberaar,OA2,46.53650374949761,8.225395010073932,annual
oberaar,OA2.5,46.53458855007948,8.216098818645198,annual
oberaar,OA11,46.527996540900794,8.18490492803434,annual
oberaar,OA12,46.52659886818559,8.179906799417875,annual
oberaar,OA4,46.531389580695745,8.20228805240432,annual
oberaar,OA2,46.536495385523644,8.225303635543527,annual
oberaar,OA2.5,46.53458855007948,8.216098818645198,annual
oberaar,OA3,46.53179238450368,8.206595275193076,annual
oberaar,OA4,46.531488527611714,8.202289447605985,annual
tiefen,1,46.60820577097692,8.442358229707356,annual
tiefen,12,46.608292624394544,8.443526857198812,annual
tiefen,11,46.607994924890505,8.445147827684153,annual
tiefen,10,46.607661588817614,8.44621855483782,annual
tiefen,12,46.608292624394544,8.443526857198812,annual
tiefen,11,46.607994924890505,8.445147827684153,annual
tiefen,10,46.607661588817614,8.44621855483782,annual
tiefen,12,46.608292624394544,8.443526857198812,annual
tiefen,12,46.608292624394544,8.443526857198812,annual
corvatsch,312,46.41612914293131,9.822607092413243,annual
corvatsch,712,46.41959514165414,9.826832661460582,annual
corvatsch,712,46.41959514165414,9.826832661460582,annual
corvatsch,812,46.420163702304954,9.827612486561259,annual
corvatsch,412,46.416092357193776,9.822644512077296,annual
corvatsch,712,46.41959541544719,9.826819660251495,annual
corvatsch,812,46.42014599331976,9.82759869274783,annual
corvatsch,212,46.415349397455536,9.821596888569921,annual
corvatsch,412,46.41745216231235,9.823888467675625,annual
corvatsch,612,46.419593897358546,9.825609359518932,annual
corvatsch,812,46.42014599331976,9.82759869274783,annual
corvatsch,912,46.4211466853379,9.828371556578746,annual
corvatsch,212,46.415349397455536,9.821596888569921,annual
corvatsch,416,46.41745216231235,9.823888467675625,annual
corvatsch,217,46.415330594960665,9.821635098800334,annual
corvatsch,1013,46.4141074328876,9.82245313649854,annual
corvatsch,417,46.41745216231235,9.823888467675625,annual
corvatsch,1018,46.41410035443826,9.82236174177834,annual
corvatsch,418,46.41803954673563,9.824630019901633,annual
corvatsch,618,46.4195475718698,9.825672386034583,annual
tortin,B1,46.08034400773883,7.312822126955782,annual
tortin,B3,46.08781355680013,7.307814549500699,annual
tortin,B5,46.085966749741225,7.305479005364475,annual
tortin,B1,46.08034400773883,7.312822126955782,annual
tortin,B3,46.08781355680013,7.307814549500699,annual
tortin,B1,46.08034400773883,7.312822126955782,annual
tortin,B3,46.08781355680013,7.307814549500699,annual
tortin,B1,46.08034400773883,7.312822126955782,annual
tortin,B3,46.08781355680013,7.307814549500699,annual
tortin,B4,46.08468385486637,7.3084425733186675,annual
tortin,B5,46.085966749741225,7.305479005364475,annual
tortin,B8,46.082462988138815,7.309326913017903,annual
tortin,B3,46.08781355680013,7.307814549500699,annual
tortin,B4,46.08468385486637,7.3084425733186675,annual
tortin,B5,46.085966749741225,7.305479005364475,annual
tortin,B8,46.082462988138815,7.309326913017903,annual
tortin,B1,46.08034400773883,7.312822126955782,annual
tortin,B8,46.082462988138815,7.309326913017903,annual
tortin,B1,46.08034400773883,7.312822126955782,annual
tortin,B3,46.08781355680013,7.307814549500699,annual
tortin,B4,46.08468385486637,7.3084425733186675,annual
tortin,B5,46.085966749741225,7.305479005364475,annual
tortin,B7,46.0817374355148,7.312043298552734,annual
tortin,B8,46.082462988138815,7.309326913017903,annual
tortin,BS,46.0843114022933,7.305327908952892,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,K,46.8356614805483,8.996890117293695,annual
plattalva,Ki,46.83488441730879,8.995151480349882,annual
plattalva,OO,46.833620448483806,8.992165178919217,annual
plattalva,P,46.83048728201866,8.987683168334357,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,K,46.8356614805483,8.996890117293695,annual
plattalva,Ki,46.83488441730879,8.995151480349882,annual
plattalva,OO,46.833620448483806,8.992165178919217,annual
plattalva,P,46.83048728201866,8.987683168334357,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,Ki,46.83488441730879,8.995151480349882,annual
plattalva,OO,46.833620448483806,8.992165178919217,annual
plattalva,P,46.83048728201866,8.987683168334357,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,K,46.8356614805483,8.996890117293695,annual
plattalva,Ki,46.83488441730879,8.995151480349882,annual
plattalva,OO,46.833620448483806,8.992165178919217,annual
plattalva,P,46.83048728201866,8.987683168334357,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,K,46.8356614805483,8.996890117293695,annual
plattalva,Ki,46.83488441730879,8.995151480349882,annual
plattalva,OO,46.833620448483806,8.992165178919217,annual
plattalva,P,46.83048728201866,8.987683168334357,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,J,46.83159845218316,8.985355430021054,annual
plattalva,K,46.8356614805483,8.996890117293695,annual
plattalva,Ki,46.83488441730879,8.995151480349882,annual
plattalva,OO,46.833620448483806,8.992165178919217,annual
plattalva,P,46.83048728201866,8.987683168334357,annual
plattalva,BIV,46.83309631920797,8.98769269346314,annual
plattalva,K,46.8356614805483,8.996890117293695,annual
