exp_key,RMSE_annual,RMSE_winter,R2_annual,R2_winter,Bias_annual,Bias_winter,n_preds,n_annual,n_winter,E_ZERO_RMSE_annual,Delta_vs_ZERO_annual,E_ZERO_RMSE_winter,Delta_vs_ZERO_winter
TL_CH_to_ISL_G10_Y10_seed1,1.195876389894617,0.7781574042004793,0.7839608905154241,0.39685902276161134,-0.0851243467828662,-0.12338808504864573,2444,1164,1280,2.750572565450484,-1.5546961755558668,1.2140721489408826,-0.43591474474040326
TL_CH_to_ISL_G10_Y10_seed10,1.413724982840217,0.8500688545967706,0.6980815449309532,0.2802326604706933,0.023025327403725628,0.05707840325776488,2444,1164,1280,2.750572565450484,-1.3368475826102668,1.2140721489408826,-0.36400329434411194
TL_CH_to_ISL_G10_Y10_seed2,1.3058976019295565,0.8250174013854917,0.742380908867142,0.3220305184766108,0.029840089636774817,-0.018375277891755103,2444,1164,1280,2.750572565450484,-1.4446749635209273,1.2140721489408826,-0.3890547475553908
TL_CH_to_ISL_G10_Y10_seed3,1.392028878596836,0.816304646061246,0.7072773789352129,0.3362745605725185,0.015466545071593675,0.03806115984916687,2444,1164,1280,2.750572565450484,-1.3585436868536478,1.2140721489408826,-0.3977675028796366
TL_CH_to_ISL_G10_Y10_seed4,1.1276362622509848,0.7347699836237404,0.8079130495827982,0.4622421732911003,0.2222429650653269,0.0417817956302315,2444,1164,1280,2.750572565450484,-1.622936303199499,1.2140721489408826,-0.4793021653171422
TL_CH_to_ISL_G10_Y10_seed5,1.4002467899407847,0.756268350796184,0.7038109720497885,0.4303136956115572,0.0481532189444578,0.04419331888202578,2444,1164,1280,2.750572565450484,-1.3503257755096991,1.2140721489408826,-0.4578037981446985
TL_CH_to_ISL_G10_Y10_seed6,1.536344436423775,0.8223001133633162,0.6434364220191331,0.32648910210983295,-0.6823963156782884,-0.3456612971844152,2444,1164,1280,2.750572565450484,-1.2142281290267087,1.2140721489408826,-0.39177203557756635
TL_CH_to_ISL_G10_Y10_seed7,1.2378726686854105,0.7833031973760287,0.7685209223116605,0.38885575615601453,-0.4453957606734279,-0.23708123438991607,2444,1164,1280,2.750572565450484,-1.5126998967650733,1.2140721489408826,-0.43076895156485384
TL_CH_to_ISL_G10_Y10_seed8,1.2789518850188846,0.7947358795287531,0.752902581797013,0.37088568445195313,-0.21419925421886019,-0.07723496609833091,2444,1164,1280,2.750572565450484,-1.4716206804315992,1.2140721489408826,-0.4193362694121294
TL_CH_to_ISL_G10_Y10_seed9,1.3545002912159485,0.82282796332132,0.7228480104914454,0.32562414587659927,-0.19498681220709255,-0.09988110051490366,2444,1164,1280,2.750572565450484,-1.3960722742345353,1.2140721489408826,-0.39124418561956253
TL_CH_to_ISL_G10_Y1_seed1,1.9204535326774592,0.9382034186288154,0.44285607185423614,0.12324560974051113,-0.3866309719448237,0.08853919405955821,2444,1164,1280,2.750572565450484,-0.8301190327730246,1.2140721489408826,-0.27586873031206716
TL_CH_to_ISL_G10_Y1_seed10,1.751548097825495,0.8683054414645424,0.5365488861833084,0.24901896028909032,-0.7591777819999305,-0.33008768025320023,2444,1164,1280,2.750572565450484,-0.9990244676249889,1.2140721489408826,-0.3457667074763402
TL_CH_to_ISL_G10_Y1_seed2,1.848069647733092,0.9859002641193102,0.4840632499408446,0.031833853031260295,-0.3863145607392403,0.27037482233718035,2444,1164,1280,2.750572565450484,-0.9025029177173918,1.2140721489408826,-0.22817188482157236
TL_CH_to_ISL_G10_Y1_seed3,1.4058988793607627,0.8398168862564753,0.7014150149870252,0.29748899394531403,-0.05959806701366844,-0.19529457387980073,2444,1164,1280,2.750572565450484,-1.344673686089721,1.2140721489408826,-0.37425526268440723
