exp_key,RMSE_annual,RMSE_winter,R2_annual,R2_winter,Bias_annual,Bias_winter,n_preds,n_annual,n_winter,E_ZERO_RMSE_annual,Delta_vs_ZERO_annual,E_ZERO_RMSE_winter,Delta_vs_ZERO_winter
TL_NOR_to_ISL_G10_Y10_seed1,1.4342780533513275,0.793055422096455,0.6892390055672721,0.37354336575133706,0.44234093432266686,0.2840068618534133,2444,1164,1280,1.357666180985649,0.07661187236567857,0.8642608666048911,-0.07120544450843613
TL_NOR_to_ISL_G10_Y10_seed10,1.5003341107931514,0.8570944386860506,0.6599554936961365,0.26828612609976865,0.20311923337863483,0.31261867156717926,2444,1164,1280,1.357666180985649,0.14266792980750242,0.8642608666048911,-0.007166427918840479
TL_NOR_to_ISL_G10_Y10_seed11,1.4379350908486388,0.8316080323000397,0.6876522651833361,0.31115535560742424,-0.4015868682785542,-0.21231914395466447,2444,1164,1280,1.357666180985649,0.08026890986298985,0.8642608666048911,-0.03265283430485144
TL_NOR_to_ISL_G10_Y10_seed12,1.8362223454135558,0.9819192062765635,0.4906570110027927,0.03963694353909519,0.15456994643428482,0.25842887454200536,2444,1164,1280,1.357666180985649,0.4785561644279068,0.8642608666048911,0.11765833967167239
TL_NOR_to_ISL_G10_Y10_seed13,1.4079614314165847,0.7756559148215649,0.7005382812859012,0.40073053059677677,0.06024647819012711,0.1889812261098996,2444,1164,1280,1.357666180985649,0.050295250430935745,0.8642608666048911,-0.08860495178332617
TL_NOR_to_ISL_G10_Y10_seed14,1.3813334094646967,0.7855152472714694,0.711758288242369,0.3853991252270659,-0.4890930585281546,-0.21637554871849715,2444,1164,1280,1.357666180985649,0.023667228479047786,0.8642608666048911,-0.07874561933342172
TL_NOR_to_ISL_G10_Y10_seed15,1.575031007358591,0.9011067447811775,0.6252531314437209,0.19120880212021518,-0.2111677526915606,-0.08475462747737765,2444,1164,1280,1.357666180985649,0.21736482637294197,0.8642608666048911,0.03684587817628637
TL_NOR_to_ISL_G10_Y10_seed16,1.275907366247188,0.8425947190652495,0.7540776015099674,0.29283395252975875,-0.3916054745924841,-0.1239660139195621,2444,1164,1280,1.357666180985649,-0.08175881473846092,0.8642608666048911,-0.021666147539641578
TL_NOR_to_ISL_G10_Y10_seed17,1.3213195387166015,0.7748310975356371,0.7362602984120703,0.4020043557552463,-0.26016755801500735,-0.11668881005607545,2444,1164,1280,1.357666180985649,-0.03634664226904749,0.8642608666048911,-0.08942976906925404
TL_NOR_to_ISL_G10_Y10_seed18,1.4123722079997154,0.7648111163775506,0.698659071159561,0.4173707032573276,0.07052984354934332,0.078000273485668,2444,1164,1280,1.357666180985649,0.05470602701406646,0.8642608666048911,-0.09944975022734048
TL_NOR_to_ISL_G10_Y10_seed19,1.0926522481623615,0.6947039639134215,0.8196468534696628,0.5192896319037028,-0.1268943946590948,-0.05023881923407316,2444,1164,1280,1.357666180985649,-0.26501393282328745,0.8642608666048911,-0.1695569026914696
TL_NOR_to_ISL_G10_Y10_seed2,1.469376235254554,0.8399644879654505,0.6738436641537338,0.2972420196558051,0.14669891969137586,0.17563705882057548,2444,1164,1280,1.357666180985649,0.11171005426890512,0.8642608666048911,-0.024296378639440563
TL_NOR_to_ISL_G10_Y10_seed20,1.4240754377660523,0.7815599503994324,0.6936444249339415,0.39157292951726674,-0.08653531840576749,0.00813401760533452,2444,1164,1280,1.357666180985649,0.06640925678040333,0.8642608666048911,-0.08270091620545872
TL_NOR_to_ISL_G10_Y10_seed3,1.5095110040961839,0.7945017861441099,0.6557829621747446,0.3712562352928943,-0.35797900071566047,-0.023133609164506196,2444,1164,1280,1.357666180985649,0.15184482311053493,0.8642608666048911,-0.06975908046078116
TL_NOR_to_ISL_G10_Y10_seed4,1.3658681985871655,0.7498918550479645,0.7181763837361103,0.43987983453045143,0.00563910030007772,0.04451934429816902,2444,1164,1280,1.357666180985649,0.00820201760151651,0.8642608666048911,-0.11436901155692658
TL_NOR_to_ISL_G10_Y10_seed5,1.3878820911810714,0.823769715371766,0.709018793739637,0.32407956148979344,-0.249139562966078,-0.18226199774071575,2444,1164,1280,1.357666180985649,0.03021591019542247,0.8642608666048911,-0.04049115123312508
TL_NOR_to_ISL_G10_Y10_seed6,1.425591634783455,0.9301927927781544,0.6929917310269191,0.13815359215957668,-0.5894512605318909,-0.24456834413576872,2444,1164,1280,1.357666180985649,0.06792545379780601,0.8642608666048911,0.06593192617326327
TL_NOR_to_ISL_G10_Y10_seed7,1.2371437325115668,0.7954222033799065,0.7687934598018182,0.3697986128707266,-0.4379268391537912,-0.16884802880231292,2444,1164,1280,1.357666180985649,-0.12052244847408211,0.8642608666048911,-0.06883866322498455
TL_NOR_to_ISL_G10_Y10_seed8,1.4618751340212972,0.8306108278268973,0.6771651919095367,0.3128063909080607,-0.10081219796052913,0.0908813925459981,2444,1164,1280,1.357666180985649,0.10420895303564826,0.8642608666048911,-0.033650038777993774
TL_NOR_to_ISL_G10_Y10_seed9,1.3564826199059121,0.7690905314901183,0.7220361849771767,0.41083238787463705,-0.1086971062872418,-0.009671155782416462,2444,1164,1280,1.357666180985649,-0.001183561079736828,0.8642608666048911,-0.0951703351147728
