lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_loss,test_loss_a,test_loss_w,status,error
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.3001315917251438,0.5711349705778566,0.7982241103930735,0.507089022937031,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.0,True,0.22544751068504584,0.7122009913505366,0.8634688142900222,0.6740182791697998,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 64, 32]",0.2,False,0.30776196805808304,0.5481931677862942,0.7892481759434163,0.4784574687476881,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.3,True,0.34757588561484337,0.5431305502992945,0.8459463587320818,0.4489778823151437,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[64, 32, 32]",0.2,True,0.42033472586182247,0.5649884704084213,0.9132549685689053,0.45264343635238624,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.28289713949422685,0.5615789397256421,0.8364433056560308,0.47962216918904316,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64]",0.3,False,0.3110526256590365,0.5559188441962685,0.8160993415071395,0.47934689511975015,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.2,False,0.41979269736000246,0.601553736468747,0.8611932874772356,0.5268094315529376,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,True,0.45829485685683796,0.5778503289103367,1.0053897296049452,0.4284780002574664,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.4,True,0.30742922118919114,0.5335500783149909,0.7988701648966661,0.4540600296662578,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,True,0.2506966747265972,0.731635084207227,0.9023547885863649,0.6879992324143277,success,
