lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_rmse,status,error
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,False,0.24421855130665743,0.6083710591822902,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 64, 32]",0.2,True,0.2715191985873659,0.5810955685073826,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64]",0.3,True,0.19500468000114762,0.5615978293045462,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 256, 128, 64, 32]",0.2,True,0.24684325433186052,0.5920293862547358,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.4,True,0.291405469829162,0.5862482663571688,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 128, 64, 32]",0.3,True,0.29795140386438834,0.5883526355654971,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 256, 128, 64, 32]",0.4,False,0.25618702776647245,0.7162662951293531,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 32]",0.2,True,0.27671678119107546,0.5830588631585929,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.2,True,0.19483183651391042,0.554114124193654,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64]",0.3,False,0.26966640813695203,0.6567919499395143,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 128, 64, 64, 32]",0.4,True,0.5244072125215211,0.6592479131796637,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[64, 32, 32]",0.0,True,0.19694757912375266,0.6050092092154268,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.4,True,0.7046906041233564,0.7721919609751712,success,
